"Name","Year","Wins","Losses","Win_Percent","Arena","Location","Capacity"
"Calgary Flames",2016,45,33,0.576923076923077,NA,NA,NA
"Calgary Flames",2017,37,35,0.513888888888889,NA,NA,NA
"Calgary Flames",2018,50,25,0.666666666666667,NA,NA,NA
"Calgary Flames",2019,36,27,0.571428571428571,NA,NA,NA
"Calgary Flames",2020,26,27,0.490566037735849,NA,NA,NA
"Calgary Flames",2021,40,17,0.701754385964912,NA,NA,NA
"Carolina Hurricanes",2012,19,25,0.431818181818182,NA,NA,NA
"Carolina Hurricanes",2013,36,35,0.507042253521127,NA,NA,NA
"Carolina Hurricanes",2014,30,41,0.422535211267606,NA,NA,NA
"Carolina Hurricanes",2015,35,31,0.53030303030303,NA,NA,NA
"Carolina Hurricanes",2016,36,31,0.537313432835821,NA,NA,NA
"Carolina Hurricanes",2017,36,35,0.507042253521127,NA,NA,NA
"Carolina Hurricanes",2018,46,29,0.613333333333333,NA,NA,NA
"Carolina Hurricanes",2019,38,25,0.603174603174603,NA,NA,NA
"Carolina Hurricanes",2020,36,12,0.75,NA,NA,NA
"Carolina Hurricanes",2021,43,15,0.741379310344828,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",1990,49,23,0.680555555555556,NA,NA,NA
"Chicago Blackhawks",1991,36,29,0.553846153846154,NA,NA,NA
"Chicago Blackhawks",2012,36,7,0.837209302325581,NA,NA,NA
"Chicago Blackhawks",2013,46,21,0.686567164179104,NA,NA,NA
"Chicago Blackhawks",2014,48,28,0.631578947368421,NA,NA,NA
"Chicago Blackhawks",2015,47,26,0.643835616438356,NA,NA,NA
"Chicago Blackhawks",2016,50,23,0.684931506849315,NA,NA,NA
"Chicago Blackhawks",2017,33,39,0.458333333333333,NA,NA,NA
"Chicago Blackhawks",2018,36,34,0.514285714285714,NA,NA,NA
"Chicago Blackhawks",2019,32,30,0.516129032258065,NA,NA,NA
"Chicago Blackhawks",2020,24,25,0.489795918367347,NA,NA,NA
"Chicago Blackhawks",2021,24,32,0.428571428571429,NA,NA,NA
"Colorado Avalanche",2012,16,25,0.390243902439024,NA,NA,NA
"Colorado Avalanche",2013,52,22,0.702702702702703,NA,NA,NA
"Colorado Avalanche",2014,39,31,0.557142857142857,NA,NA,NA
"Colorado Avalanche",2015,39,39,0.5,NA,NA,NA
"Colorado Avalanche",2016,22,56,0.282051282051282,NA,NA,NA
"Colorado Avalanche",2017,43,30,0.589041095890411,NA,NA,NA
"Colorado Avalanche",2018,38,30,0.558823529411765,NA,NA,NA
"Colorado Avalanche",2019,42,20,0.67741935483871,NA,NA,NA
"Colorado Avalanche",2020,39,13,0.75,NA,NA,NA
"Colorado Avalanche",2021,46,14,0.766666666666667,NA,NA,NA
"Columbus Blue Jackets",2012,24,17,0.585365853658537,NA,NA,NA
"Columbus Blue Jackets",2013,43,32,0.573333333333333,NA,NA,NA
"Columbus Blue Jackets",2014,42,35,0.545454545454545,NA,NA,NA
"Columbus Blue Jackets",2015,34,40,0.45945945945946,NA,NA,NA
"Columbus Blue Jackets",2016,50,24,0.675675675675676,NA,NA,NA
"Columbus Blue Jackets",2017,45,30,0.6,NA,NA,NA
"Columbus Blue Jackets",2018,47,31,0.602564102564103,NA,NA,NA
"Columbus Blue Jackets",2019,33,22,0.6,NA,NA,NA
"Columbus Blue Jackets",2020,18,26,0.409090909090909,NA,NA,NA
"Columbus Blue Jackets",2021,32,29,0.524590163934426,NA,NA,NA
"Dallas Stars",2012,22,22,0.5,NA,NA,NA
"Dallas Stars",2013,40,31,0.563380281690141,NA,NA,NA
"Dallas Stars",2014,41,31,0.569444444444444,NA,NA,NA
"Dallas Stars",2015,50,23,0.684931506849315,NA,NA,NA
"Dallas Stars",2016,34,37,0.47887323943662,NA,NA,NA
"Dallas Stars",2017,42,32,0.567567567567568,NA,NA,NA
"Dallas Stars",2018,43,32,0.573333333333333,NA,NA,NA
"Dallas Stars",2019,37,24,0.60655737704918,NA,NA,NA
"Dallas Stars",2020,23,19,0.547619047619048,NA,NA,NA
"Dallas Stars",2021,36,25,0.59016393442623,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
